camera,subset,image,dice,cldice,precision,recall,gt_frac,pred_frac
Neo,Neo_Vessels_images,48.png,0.5090008231156531,0.6001128256213301,0.49768484645776284,0.5208433603150295,0.04393502499038831,0.04597943098808151
Neo,Neo_Vessels_images,49.png,0.5181621788082251,0.5819886313606983,0.46935808354888336,0.578293427205599,0.04614427143406382,0.05685409457900807
Neo,Neo_Vessels_images,5.png,0.40647033687059325,0.47018841693650726,0.6174672725305637,0.3029486703115877,0.036214917339484815,0.017768166089965398
Neo,Neo_Vessels_images,50.png,0.49763382515082816,0.5729531965308066,0.4595106271019698,0.54265508483735,0.035574778931180315,0.042011726259131105
Neo,Neo_Vessels_images,6.png,0.20810963976864208,0.24240513624607454,0.2220550221565731,0.1958123366738035,0.029516772395232604,0.026028450595924645
Neo,Neo_Vessels_images,7.png,0.44021266398026027,0.5053344780631286,0.7528156400837862,0.3110504860457824,0.038314590542099194,0.01583093041138024
Neo,Neo_Vessels_images,8.png,0.4432310744336167,0.5191521187321211,0.4896803803556215,0.40483033614686403,0.04230440215301807,0.03497404844290657
Neo,Neo_Vessels_images,9.png,0.4825497118714823,0.5431527397119084,0.48646945370260714,0.4786926320082907,0.05773476547481738,0.0568118031526336
RetCam,RetCam_Vessels_images,1.png,0.8171956035590237,0.9284322845738577,0.7594181110718076,0.8844886188072922,0.12641927083333335,0.14723958333333334
RetCam,RetCam_Vessels_images,10.png,0.7879395976521346,0.9381393482393043,0.7265241928022944,0.8606970626918018,0.0891015625,0.105556640625
RetCam,RetCam_Vessels_images,11.png,0.7590832439061781,0.9123849604993416,0.6607506255212677,0.8918006213697149,0.072294921875,0.09757486979166667
RetCam,RetCam_Vessels_images,12.png,0.8059280169371913,0.9179448920607571,0.7633421284080915,0.8535462806341214,0.08275065104166666,0.092529296875
RetCam,RetCam_Vessels_images,13.png,0.806818855618144,0.8987915961336939,0.7404767087505442,0.8862185749641787,0.04998046875,0.05981770833333333
RetCam,RetCam_Vessels_images,14.png,0.8051436752224154,0.9294412970900476,0.7892441860465116,0.8216969317470256,0.0623828125,0.06494791666666666
RetCam,RetCam_Vessels_images,15.png,0.7940910173933762,0.89240813703324,0.7371983454621868,0.8604993416126617,0.12607747395833332,0.14716471354166666
